team_name,points,goal_difference
Prosecco Bois,15,23
Chook Chook Albion,12,19
Legacy Football,12,9
Fishermans Friends,9,10
New Levels FC,9,7
Contrarian FC,6,-6
Stevos Steiners,4,-17
Penalty Clause,3,-19
Wolves of Warren St,1,-26
